user,interest,service,rating,frequency
User2,Health,Travel Fair,5,7
User5,Sports,Travel Fair,1,2
User4,Technology,Sports Event,5,9
User1,Education,Health Camp,1,8
User5,Sports,Sports Event,2,9
User2,Travel,Travel Fair,3,3
User4,Health,Health Camp,1,3
User5,Sports,Health Camp,1,2
User4,Sports,Sports Event,4,1
User4,Travel,Tech Workshop,5,6
User2,Technology,Sports Event,3,5
User3,Education,Travel Fair,4,8
User5,Travel,Travel Fair,4,8
User2,Education,Travel Fair,5,8
User4,Technology,Travel Fair,2,5
User2,Sports,Travel Fair,2,8
User3,Education,Tech Workshop,1,7
User5,Health,Health Camp,1,2
User3,Health,Sports Event,1,7
User1,Travel,Sports Event,2,7
User5,Technology,Travel Fair,4,2
User3,Travel,Sports Event,1,5
User4,Travel,Travel Fair,5,4
User5,Travel,Tech Workshop,1,1
User5,Health,Tech Workshop,2,6
User2,Health,Health Camp,4,6
User4,Travel,Tech Workshop,4,3
User1,Health,Tech Workshop,1,9
User3,Technology,Health Camp,2,8
User2,Travel,Sports Event,1,8
User3,Health,Travel Fair,4,3
User1,Education,Travel Fair,2,2
User1,Travel,Sports Event,2,6
User5,Travel,Health Camp,2,9
User1,Technology,Sports Event,2,8
User3,Sports,Tech Workshop,3,9
User4,Sports,Health Camp,4,4
User4,Technology,Health Camp,2,8
User5,Technology,Health Camp,1,8
User3,Technology,Travel Fair,2,2
User3,Sports,Sports Event,1,5
User1,Technology,Health Camp,3,1
User3,Health,Health Camp,2,5
User2,Travel,Health Camp,1,6
User1,Travel,Sports Event,4,6
User2,Education,Travel Fair,4,1
User5,Education,Tech Workshop,3,8
User4,Travel,Travel Fair,5,6
User5,Health,Health Camp,1,4
User4,Sports,Travel Fair,4,8
User5,Sports,Travel Fair,5,7
User3,Health,Tech Workshop,1,5
User2,Sports,Sports Event,5,3
User4,Technology,Sports Event,5,4
User1,Travel,Travel Fair,5,4
User2,Travel,Travel Fair,2,4
User1,Health,Sports Event,1,9
User2,Sports,Sports Event,3,1
User2,Education,Tech Workshop,5,5
User5,Education,Health Camp,5,1
User4,Sports,Travel Fair,3,2
User4,Education,Sports Event,1,9
User2,Health,Travel Fair,1,1
User3,Health,Travel Fair,2,7
User3,Sports,Sports Event,5,9
User1,Education,Tech Workshop,2,8
User1,Health,Travel Fair,4,7
User5,Health,Tech Workshop,5,1
User2,Technology,Sports Event,1,1
User1,Technology,Health Camp,2,7
User1,Health,Health Camp,2,3
User2,Sports,Travel Fair,2,5
User5,Travel,Sports Event,2,8
User1,Travel,Tech Workshop,2,7
User5,Health,Travel Fair,3,1
User4,Health,Sports Event,3,6
User5,Health,Sports Event,3,3
User3,Sports,Tech Workshop,2,3
User3,Technology,Travel Fair,2,3
User5,Health,Sports Event,2,5
User3,Health,Sports Event,3,8
User4,Education,Sports Event,2,9
User2,Sports,Tech Workshop,5,4
User3,Health,Travel Fair,2,4
User3,Education,Travel Fair,4,5
User5,Travel,Travel Fair,1,5
User4,Health,Travel Fair,1,6
User2,Health,Health Camp,3,1
User5,Education,Health Camp,3,5
User5,Sports,Travel Fair,2,3
User4,Health,Tech Workshop,4,5
User2,Travel,Health Camp,4,1
User4,Health,Sports Event,1,2
User2,Travel,Health Camp,3,9
User4,Technology,Sports Event,2,3
User5,Technology,Travel Fair,3,5
User5,Travel,Health Camp,5,8
User1,Sports,Tech Workshop,1,8
User3,Health,Health Camp,3,7
User4,Health,Health Camp,2,4
User2,Health,Travel Fair,3,3
User5,Sports,Travel Fair,3,5
User4,Technology,Sports Event,1,3
User1,Education,Health Camp,4,1
User5,Sports,Sports Event,3,8
User2,Travel,Travel Fair,3,4
User4,Health,Health Camp,1,1
User5,Sports,Health Camp,1,6
User4,Sports,Sports Event,4,8
User4,Travel,Tech Workshop,5,8
User2,Technology,Sports Event,4,6
User3,Education,Travel Fair,5,5
User5,Travel,Travel Fair,1,4
User2,Education,Travel Fair,1,6
User4,Technology,Travel Fair,4,8
User2,Sports,Travel Fair,5,2
User3,Education,Tech Workshop,3,7
User5,Health,Health Camp,4,5
User3,Health,Sports Event,2,4
User1,Travel,Sports Event,3,1
User5,Technology,Travel Fair,4,4
User3,Travel,Sports Event,3,3
User4,Travel,Travel Fair,2,2
User5,Travel,Tech Workshop,2,7
User5,Health,Tech Workshop,5,3
User2,Health,Health Camp,5,5
User4,Travel,Tech Workshop,3,6
User1,Health,Tech Workshop,4,7
User3,Technology,Health Camp,2,8
User2,Travel,Sports Event,5,5
User3,Health,Travel Fair,5,7
User1,Education,Travel Fair,2,8
User1,Travel,Sports Event,3,3
User5,Travel,Health Camp,2,9
User1,Technology,Sports Event,5,6
User3,Sports,Tech Workshop,4,2
User4,Sports,Health Camp,4,2
User4,Technology,Health Camp,1,4
User5,Technology,Health Camp,2,1
User3,Technology,Travel Fair,3,8
User3,Sports,Sports Event,5,6
User1,Technology,Health Camp,5,8
User3,Health,Health Camp,3,9
User2,Travel,Health Camp,2,7
User1,Travel,Sports Event,1,6
User2,Education,Travel Fair,3,9
User5,Education,Tech Workshop,2,7
User4,Travel,Travel Fair,2,5
User5,Health,Health Camp,3,2
User4,Sports,Travel Fair,4,4
User5,Sports,Travel Fair,4,3
User3,Health,Tech Workshop,3,6
User2,Sports,Sports Event,4,3
User4,Technology,Sports Event,3,3
User1,Travel,Travel Fair,4,5
User2,Travel,Travel Fair,1,2
User1,Health,Sports Event,4,8
User2,Sports,Sports Event,3,3
User2,Education,Tech Workshop,5,1
User5,Education,Health Camp,5,3
User4,Sports,Travel Fair,1,4
User4,Education,Sports Event,2,3
User2,Health,Travel Fair,2,7
User3,Health,Travel Fair,2,4
User3,Sports,Sports Event,2,3
User1,Education,Tech Workshop,1,7
User1,Health,Travel Fair,3,8
User5,Health,Tech Workshop,5,3
User2,Technology,Sports Event,3,8
User1,Technology,Health Camp,4,5
