text,sentiment
Happy with the new park.,neutral
Feeling sad about the pollution.,neutral
Happy with the new park.,neutral
The weather is amazing.,neutral
The public services are great.,neutral
Disappointed with the healthcare system.,neutral
Excited for the festival!,neutral
Frustrated with the noise.,neutral
Pleased with the cleanliness.,neutral
The weather is amazing.,neutral
The weather is amazing.,neutral
I love this city!,neutral
Disappointed with the healthcare system.,neutral
The weather is amazing.,neutral
I love this city!,neutral
Happy with the new park.,neutral
Excited for the festival!,neutral
Feeling sad about the pollution.,neutral
Disappointed with the healthcare system.,neutral
The weather is amazing.,neutral
Excited for the festival!,neutral
The public services are great.,neutral
The weather is amazing.,neutral
Pleased with the cleanliness.,neutral
The weather is amazing.,neutral
Excited for the festival!,neutral
Happy with the new park.,neutral
I hate the traffic here.,neutral
The weather is amazing.,neutral
I hate the traffic here.,neutral
I love this city!,neutral
The weather is amazing.,neutral
Happy with the new park.,neutral
I love this city!,neutral
The public services are great.,neutral
The public services are great.,neutral
The public services are great.,neutral
The public services are great.,neutral
Disappointed with the healthcare system.,neutral
Frustrated with the noise.,neutral
Frustrated with the noise.,neutral
I hate the traffic here.,neutral
I love this city!,neutral
The public services are great.,neutral
The public services are great.,neutral
Happy with the new park.,neutral
Disappointed with the healthcare system.,neutral
The weather is amazing.,neutral
Happy with the new park.,neutral
Feeling sad about the pollution.,neutral
The public services are great.,neutral
Excited for the festival!,neutral
Happy with the new park.,neutral
Pleased with the cleanliness.,neutral
Pleased with the cleanliness.,neutral
I hate the traffic here.,neutral
Pleased with the cleanliness.,neutral
Disappointed with the healthcare system.,neutral
Feeling sad about the pollution.,neutral
I love this city!,neutral
Happy with the new park.,neutral
The weather is amazing.,neutral
Frustrated with the noise.,neutral
Disappointed with the healthcare system.,neutral
The weather is amazing.,neutral
Frustrated with the noise.,neutral
Frustrated with the noise.,neutral
Happy with the new park.,neutral
I hate the traffic here.,neutral
I love this city!,neutral
The weather is amazing.,neutral
Feeling sad about the pollution.,neutral
Frustrated with the noise.,neutral
Happy with the new park.,neutral
I love this city!,neutral
I hate the traffic here.,neutral
Excited for the festival!,neutral
The public services are great.,neutral
Excited for the festival!,neutral
Frustrated with the noise.,neutral
Feeling sad about the pollution.,neutral
Frustrated with the noise.,neutral
I hate the traffic here.,neutral
The weather is amazing.,neutral
I love this city!,neutral
Disappointed with the healthcare system.,neutral
Feeling sad about the pollution.,neutral
The weather is amazing.,neutral
I love this city!,neutral
I hate the traffic here.,neutral
Happy with the new park.,neutral
Feeling sad about the pollution.,neutral
Frustrated with the noise.,neutral
Pleased with the cleanliness.,neutral
Disappointed with the healthcare system.,neutral
Happy with the new park.,neutral
Pleased with the cleanliness.,neutral
The public services are great.,neutral
Disappointed with the healthcare system.,neutral
Feeling sad about the pollution.,neutral
Happy with the new park.,neutral
I love this city!,neutral
Frustrated with the noise.,neutral
The weather is amazing.,neutral
Excited for the festival!,neutral
Happy with the new park.,neutral
The weather is amazing.,neutral
I love this city!,neutral
I hate the traffic here.,neutral
Disappointed with the healthcare system.,neutral
Feeling sad about the pollution.,neutral
Feeling sad about the pollution.,neutral
Disappointed with the healthcare system.,neutral
Pleased with the cleanliness.,neutral
I love this city!,neutral
The public services are great.,neutral
I love this city!,neutral
Pleased with the cleanliness.,neutral
The public services are great.,neutral
I hate the traffic here.,neutral
Feeling sad about the pollution.,neutral
The public services are great.,neutral
Feeling sad about the pollution.,neutral
Excited for the festival!,neutral
I love this city!,neutral
Happy with the new park.,neutral
The public services are great.,neutral
The weather is amazing.,neutral
Frustrated with the noise.,neutral
The weather is amazing.,neutral
I love this city!,neutral
Frustrated with the noise.,neutral
I love this city!,neutral
The weather is amazing.,neutral
I hate the traffic here.,neutral
Disappointed with the healthcare system.,neutral
Feeling sad about the pollution.,neutral
The public services are great.,neutral
Happy with the new park.,neutral
Excited for the festival!,neutral
Pleased with the cleanliness.,neutral
The public services are great.,neutral
The weather is amazing.,neutral
I love this city!,neutral
Disappointed with the healthcare system.,neutral
Excited for the festival!,neutral
I love this city!,neutral
The public services are great.,neutral
Feeling sad about the pollution.,neutral
Feeling sad about the pollution.,neutral
Disappointed with the healthcare system.,neutral
I love this city!,neutral
The weather is amazing.,neutral
The weather is amazing.,neutral
Feeling sad about the pollution.,neutral
Disappointed with the healthcare system.,neutral
The weather is amazing.,neutral
I hate the traffic here.,neutral
The weather is amazing.,neutral
I love this city!,neutral
Happy with the new park.,neutral
Frustrated with the noise.,neutral
Frustrated with the noise.,neutral
The public services are great.,neutral
Happy with the new park.,neutral
I love this city!,neutral
Disappointed with the healthcare system.,neutral
Feeling sad about the pollution.,neutral
The weather is amazing.,neutral
Feeling sad about the pollution.,neutral
The public services are great.,neutral
The weather is amazing.,neutral
The public services are great.,neutral
