day_of_week,hour,weather,event,travel_time,road_condition,accidents
Sunday,22,Cloudy,Concert,39,Good,1
Thursday,9,Cloudy,,15,Bad,1
Friday,18,Rainy,Concert,50,Moderate,0
Sunday,16,Rainy,Sports,54,Good,2
Wednesday,4,Snowy,Concert,25,Moderate,0
Friday,3,Cloudy,Concert,25,Moderate,1
Friday,9,Cloudy,Sports,9,Bad,2
Sunday,23,Sunny,,52,Good,3
Tuesday,16,Snowy,Concert,24,Bad,0
Wednesday,9,Snowy,Concert,41,Moderate,3
Sunday,16,Sunny,Sports,7,Bad,4
Wednesday,19,Snowy,,48,Moderate,4
Wednesday,23,Snowy,Concert,37,Bad,4
Friday,4,Rainy,Sports,57,Moderate,3
Thursday,1,Cloudy,Concert,13,Bad,0
Wednesday,5,Snowy,Festival,13,Good,3
Saturday,20,Rainy,Sports,8,Good,3
Friday,1,Cloudy,,39,Bad,2
Tuesday,12,Sunny,,21,Moderate,2
Thursday,10,Rainy,,38,Moderate,2
Saturday,10,Rainy,,28,Moderate,4
Saturday,15,Cloudy,Concert,36,Bad,4
Tuesday,10,Sunny,Concert,5,Bad,4
Thursday,18,Rainy,,12,Moderate,0
Friday,14,Snowy,,49,Moderate,4
Monday,22,Snowy,,27,Moderate,0
Thursday,22,Snowy,Concert,51,Moderate,2
Tuesday,15,Sunny,,44,Moderate,1
Saturday,10,Rainy,,16,Moderate,3
Friday,21,Snowy,Festival,58,Bad,3
Thursday,15,Sunny,Festival,16,Moderate,2
Monday,7,Snowy,,50,Good,4
Monday,3,Cloudy,Sports,51,Bad,2
Wednesday,7,Rainy,,19,Moderate,4
Wednesday,3,Rainy,Festival,45,Good,0
Sunday,23,Sunny,Sports,23,Moderate,4
Tuesday,2,Sunny,Sports,30,Bad,2
Thursday,2,Rainy,,56,Bad,2
Thursday,17,Snowy,Festival,33,Good,1
Sunday,18,Snowy,Festival,26,Good,4
Saturday,18,Cloudy,Sports,44,Bad,0
Saturday,20,Snowy,,25,Good,4
Sunday,4,Sunny,Concert,55,Moderate,0
Saturday,17,Sunny,Concert,42,Bad,2
Wednesday,9,Snowy,Festival,24,Bad,1
Thursday,21,Sunny,Concert,33,Bad,3
Sunday,20,Rainy,Festival,55,Bad,3
Thursday,5,Rainy,Festival,8,Moderate,1
Monday,0,Snowy,Festival,59,Good,2
Wednesday,4,Rainy,Concert,11,Moderate,3
Friday,8,Rainy,Festival,32,Moderate,0
Wednesday,11,Cloudy,Sports,32,Bad,4
Sunday,13,Cloudy,,8,Good,4
Friday,1,Rainy,,26,Moderate,2
Monday,16,Snowy,Festival,16,Moderate,4
Sunday,13,Cloudy,,49,Bad,4
Tuesday,12,Sunny,Concert,7,Bad,3
Thursday,8,Sunny,Concert,26,Moderate,1
Monday,14,Sunny,,48,Good,1
Thursday,21,Snowy,Concert,6,Moderate,4
Saturday,14,Rainy,,28,Moderate,2
Tuesday,23,Sunny,,38,Bad,0
Tuesday,10,Snowy,,31,Moderate,1
Monday,15,Cloudy,Festival,59,Bad,2
Tuesday,16,Rainy,,45,Bad,1
Friday,3,Cloudy,Festival,5,Good,0
Tuesday,0,Snowy,,12,Bad,4
Thursday,7,Sunny,,27,Bad,0
Thursday,16,Sunny,,42,Good,0
Sunday,2,Snowy,Concert,10,Bad,3
Thursday,19,Sunny,Festival,26,Good,2
Sunday,14,Rainy,Festival,29,Good,3
Thursday,14,Snowy,,22,Moderate,3
Friday,23,Cloudy,,21,Moderate,1
Sunday,21,Snowy,Concert,16,Good,0
Wednesday,13,Rainy,Concert,10,Bad,2
Saturday,22,Rainy,Concert,30,Moderate,3
Monday,13,Snowy,Festival,31,Bad,4
Thursday,23,Snowy,Festival,12,Good,4
Tuesday,1,Sunny,Festival,23,Good,2
Thursday,12,Rainy,,46,Bad,3
Tuesday,13,Snowy,Festival,5,Bad,4
