garbage,sewage,complaints,population,risk_level,hospital_access,vaccination_rate
86,36,53,7010,low,0,0.7951656044333879
6,64,89,5926,low,0,0.029090222861904103
22,73,32,7065,low,0,0.11843057035213678
33,98,19,1634,low,1,0.8478788915638251
8,74,44,3218,low,0,0.35210057153241536
40,11,81,2249,low,0,0.5152723190454346
47,44,61,8640,low,1,0.9945896723713938
44,16,30,6712,low,0,0.5675678585596728
24,79,41,2245,low,0,0.2631079106871158
24,65,64,1442,low,1,0.2557395013436162
38,40,2,5675,low,1,0.5397046576161738
79,28,8,5377,low,0,0.6696406164020197
67,33,77,8096,low,0,0.17940721643672353
18,48,2,6765,low,1,0.8680577644045432
27,53,97,2031,low,0,0.8621619349599078
75,94,32,7981,low,0,0.2264442214217547
53,2,31,6392,low,1,0.8715356383586202
5,66,63,8972,low,1,0.04425393508539399
92,80,38,3800,low,0,0.08498471313521594
93,99,83,3775,low,1,0.15816917073336123
1,16,71,7044,low,0,0.17504998515802284
92,61,24,4850,low,1,0.8881301054699045
54,36,18,2188,low,0,0.1336769224907628
0,51,83,6153,low,0,0.22819943402350995
31,26,50,9592,low,0,0.47735373268333414
16,39,25,1723,low,1,0.41072120047395666
7,46,55,3329,low,0,0.9238949652420183
41,43,63,8545,low,0,0.4567548768255192
78,67,26,3822,low,0,0.5951771101093503
52,10,44,5460,low,1,0.8242207634700944
53,76,3,1270,low,0,0.6988445764547339
54,76,98,9250,low,0,0.5161650024987373
21,91,30,7999,low,0,0.7263324335600267
48,76,31,9991,low,1,0.6314892669089041
7,65,59,7531,low,1,0.3556644873201472
39,72,55,2649,low,1,0.4845209406653628
33,96,13,8351,low,1,0.5654061163804338
95,13,32,6911,low,0,0.5503217188697684
46,32,63,7436,low,0,0.8189089031318021
8,61,91,2715,low,0,0.49157417656438085
32,12,42,9150,low,1,0.25286431743046967
92,46,58,8675,low,1,0.9210773749959654
57,80,18,6539,low,0,0.2260925705030622
84,95,20,7048,low,1,0.44811765573776063
68,42,21,2151,low,1,0.9151398982387866
9,7,8,6492,low,0,0.5757772884740608
12,11,72,7302,low,1,0.23836422643942867
9,48,79,4428,low,1,0.1406873420953333
66,61,32,4955,low,0,0.8856393268499576
11,50,75,5038,low,1,0.279803840436729
48,58,54,8011,low,0,0.287154673188721
48,75,4,9879,low,0,0.2469580606719931
88,14,58,9521,low,1,0.429550189290388
35,22,48,1784,low,0,0.3088234027815584
89,96,82,6036,low,1,0.9338696921228721
77,44,53,8127,low,0,0.12473227960690658
0,78,7,6775,low,1,0.5594112512321947
11,63,54,4708,low,1,0.05786470851019465
76,55,82,9953,low,0,0.5490002801733421
51,43,81,8692,low,1,0.06851145792833546
86,28,94,8252,low,0,0.659101591704022
79,88,56,5187,low,1,0.1119217892618517
21,53,79,1036,low,0,0.35154867159213454
55,82,6,9060,low,1,0.9239137974953295
96,65,77,9065,low,0,0.26683394522880566
57,21,52,4880,low,0,0.6376786688733832
92,19,62,6932,low,0,0.08555847116461124
63,32,88,9328,low,0,0.6646775645719988
11,71,31,7333,low,0,0.38625563420147546
89,97,51,1661,low,1,0.09800383964741644
23,7,88,3729,low,0,0.7930474345724153
59,53,98,3867,low,0,0.7649267271538546
26,13,32,4544,low,0,0.36038921641903043
22,56,90,8565,low,0,0.394938812632172
95,74,44,3217,low,0,0.31983236689400485
13,4,16,5796,low,1,0.16136347625646807
90,70,55,5606,low,1,0.007554506160579844
42,36,60,1416,low,1,0.27691044479276894
70,38,9,5513,low,0,0.5607407373617591
37,25,88,2421,low,1,0.3580868526197273
80,27,80,2477,low,0,0.9475947736913256
51,26,86,9762,low,0,0.6331960305774108
19,8,7,5443,low,1,0.16808793143686807
16,39,64,7869,low,0,0.3774336032839041
37,67,94,7609,low,1,0.8823085730594653
89,9,87,3577,low,1,0.8831695912879779
43,19,68,2068,low,0,0.06583116637525521
59,74,80,6591,low,0,0.07089119289366652
16,61,72,5829,low,1,0.04494694564711876
47,24,84,2387,low,0,0.8219628101325592
42,61,31,9562,low,0,0.057234191602579476
53,95,42,8063,low,0,0.6248998672048814
88,58,96,4628,low,0,0.45919709761821725
85,4,76,7157,low,0,0.014070822211796785
30,98,0,9860,low,1,0.028653103905407984
69,49,99,9721,low,1,0.6278743233034075
57,0,29,3347,low,1,0.3843096721898157
58,89,81,1726,low,1,0.27723385392667366
92,57,74,5923,low,0,0.4497700745757237
45,78,39,4279,low,1,0.7174721573870234
63,46,28,4807,low,1,0.8489124873220354
19,79,91,7099,low,1,0.8982196076757915
77,92,18,7169,low,0,0.8924284792527012
38,23,2,8790,low,0,0.08022983194937594
32,33,40,1588,low,0,0.5784748758235718
30,1,89,4231,low,1,0.9810600441747499
70,86,83,6044,low,1,0.6199379089945403
61,71,76,7103,low,0,0.7926781504415028
55,67,77,7783,low,0,0.892563746904822
6,13,90,6594,low,0,0.272937764749431
88,62,86,4822,low,1,0.21838007790376557
83,62,46,4688,low,1,0.6949406102476409
33,95,53,8211,low,0,0.4712812592284178
29,89,93,7319,low,1,0.5492673496019972
9,63,94,7278,low,0,0.009556505423114259
90,18,59,4598,low,1,0.09939733688140784
58,10,73,4680,low,0,0.30529721758844774
62,14,22,2758,low,1,0.8436622986973024
86,9,26,3599,low,1,0.44549793314175645
9,26,89,6813,low,0,0.9416605857764692
61,51,76,2501,low,1,0.5924849221160813
33,64,49,8550,low,0,0.2586220975700503
39,92,92,2041,low,0,0.35396145091014797
63,75,54,7375,low,1,0.40523334768796093
38,57,71,4067,low,1,0.1727564842074214
9,38,1,1675,low,0,0.9567602481577344
70,27,79,7668,low,1,0.5759225858891741
54,29,94,5267,low,0,0.5611984331523313
0,36,69,6988,low,1,0.7810990750875095
48,66,84,8652,low,0,0.06850457736469073
35,42,89,9680,low,0,0.11821965904372578
6,67,23,4495,low,0,0.392277316454375
92,91,55,9448,low,0,0.049154323570099745
93,22,89,2779,low,0,0.009872094384728913
10,85,40,9014,low,1,0.6578111928646312
72,23,65,2118,low,1,0.8689305710633091
11,50,24,8631,low,1,0.6290316803401071
12,56,8,6691,low,0,0.060455236564404324
82,81,91,9532,low,0,0.5189775422225483
87,89,32,5746,low,0,0.6412631732289176
33,22,85,6679,low,1,0.30602209216335297
61,30,81,4598,low,1,0.985429120586319
30,8,14,5214,low,1,0.038280921353702646
67,20,56,9166,low,0,0.24084175798400465
38,95,21,5526,low,1,0.05512844677850237
7,51,28,8971,low,1,0.12431174452693916
65,96,64,3989,low,0,0.06083924308834088
87,84,4,4823,low,0,0.7064048090883404
25,78,82,3429,low,1,0.37056187092510906
18,83,9,7718,low,1,0.659408228316409
56,81,99,1051,low,1,0.29762959684866186
36,91,24,1318,low,1,0.08015106997170629
